ID,Price,Manufacturer,Model,Sales_year,Fuel type,Engine volume,Mileage,Tranmission
45396672,67000,AUDI,A7,2014,Petrol,3,50000,Tiptronic
45813224,10663,AUDI,Q7,2014,Diesel,3,98803,Automatic
45768807,2500,AUDI,A6,1995,CNG,2.8,0,Automatic
45801735,11917,AUDI,Allroad,2005,Petrol,2.7 Turbo,256000,Tiptronic
45782093,10976,AUDI,A4 S4,2008,Petrol,2.0 Turbo,222222,Tiptronic
45778228,13485,AUDI,A6,2008,Petrol,3.2,268800,Tiptronic
45759311,5018,AUDI,A4,2014,Petrol,2,81818,Automatic
45766170,2352,AUDI,Q7,2011,Diesel,3,232554,Automatic
45813811,6743,AUDI,A3,2016,Hybrid,1.4,104805,Automatic
45767457,1254,AUDI,A4,2014,Petrol,2,42395,Automatic
45769553,1254,AUDI,A4,2014,Petrol,2,42395,Automatic
45816152,21326,AUDI,A5 Sportback,2008,Petrol,3.2,203000,Tiptronic
45795139,14113,AUDI,A6,2006,Petrol,3.2,260000,Tiptronic
45806463,4800,AUDI,A6,2002,Petrol,2.7 Turbo,0,Automatic
45762998,157,AUDI,A7,2014,Petrol,3,401128,Automatic
45757919,4547,AUDI,A6,2011,Petrol,3,193685,Automatic
45808583,627,AUDI,A6,2014,Petrol,3,164488,Automatic
45646614,251,AUDI,Q7,2012,Petrol,3,241344,Automatic
45766146,3058,AUDI,A7,2014,Petrol,3,140507,Automatic
45766142,9565,AUDI,A7,2014,Petrol,3,191373,Automatic
45793522,22580,AUDI,Q5,2010,Petrol,3.2,150400,Tiptronic
44846855,25089,AUDI,A7,2011,Petrol,3.0 Turbo,0,Tiptronic
45646626,941,AUDI,Q5,2016,Petrol,3,448982,Automatic
45809820,2666,AUDI,Q7,2014,Petrol,3,85328,Automatic
44517523,6899,AUDI,A4,1999,Petrol,1.9,193243,Manual
45646578,4704,AUDI,A7,2013,Petrol,3,301707,Automatic
45759352,13328,AUDI,Q7,2017,Petrol,3,44642,Automatic
45655292,251,AUDI,Q7,2012,Petrol,3,241344,Automatic
45655273,6429,AUDI,A7,2013,Petrol,3,301707,Automatic
45767768,706,AUDI,A4,2014,Petrol,2,162032,Automatic
45362526,16935,AUDI,Q7,2008,Petrol,3.6,220000,Tiptronic
45808584,6429,AUDI,RS6,2017,Petrol,4,34483,Automatic
45760431,5018,AUDI,A4,2014,Petrol,2,81818,Automatic
45449784,7527,AUDI,A4,2006,Petrol,2.0 Turbo,278173,Tiptronic
45798717,14113,AUDI,A4,2008,Petrol,2.0 Turbo,190400,Variator
45655288,24775,AUDI,Q7,2013,Petrol,3,227902,Automatic
45808791,6899,AUDI,A4,2003,Petrol,1.8 Turbo,150000,Tiptronic
45766189,13328,AUDI,Q7,2017,Petrol,3,44642,Automatic
45655740,470,AUDI,Q5,2016,Diesel,3,29501,Automatic
45814316,100355,AUDI,A7 Prestige,2016,Petrol,3.0 Turbo,35000,Automatic
45772528,18817,AUDI,A6,2014,Petrol,2,279722,Automatic
45797662,29166,AUDI,Q5,2014,Petrol,2.0 Turbo,71000,Automatic
45808471,549,AUDI,RS7,2014,Petrol,4,98446,Automatic
45646692,627,AUDI,A6,2012,Petrol,3,168176,Automatic
45475755,9722,AUDI,A3,2004,Diesel,2.0 Turbo,260000,Manual
45782037,19444,AUDI,A3,2011,Petrol,2.0 Turbo,145600,Manual
45767459,706,AUDI,A4,2014,Petrol,2,162032,Automatic
45768886,282,AUDI,A4,2013,Petrol,2,157584,Automatic
45808578,549,AUDI,100,2014,Petrol,3,143392,Automatic
44913767,2000,AUDI,A4,1998,Petrol,2.8,200000,Manual
45794160,12231,AUDI,A6,2005,Petrol,3.2,256000,Tiptronic
45762934,282,AUDI,A4,2013,Petrol,2,157584,Automatic
44957866,11604,AUDI,TT,2000,Petrol,1.8 Turbo,175650,Manual
45759312,21012,AUDI,A4,2013,Petrol,2,157584,Automatic
45435622,46258,AUDI,A4,2016,Diesel,2.0 Turbo,98000,Tiptronic
45655284,3293,AUDI,A4,2014,Petrol,2,123640,Automatic
45766089,1254,AUDI,A4,2014,Petrol,2,42395,Automatic
45813120,2000,AUDI,A4,2000,Petrol,2.8,1000,Automatic
45762943,706,AUDI,A4,2014,Petrol,2,162032,Automatic
45758423,862,AUDI,A4,2011,Petrol,2,175194,Automatic
45766456,16621,AUDI,A3,2005,Diesel,2.0 Turbo,22200,Tiptronic
45812774,21950,AUDI,A3 4X4,2018,Petrol,2,18283,Automatic
45785137,9722,AUDI,A4,2003,Diesel,2.0 Turbo,260000,Manual
45809834,20698,AUDI,Q7,2013,Diesel,3,194342,Automatic
45647983,1019,AUDI,A4,2017,Petrol,2,110051,Automatic
45754836,42337,AUDI,Q5 S-line,2013,Petrol,3.0 Turbo,139259,Tiptronic
45800052,5466,AUDI,A6,2008,Petrol,3.2,147168,Tiptronic
45766082,282,AUDI,A4,2013,Petrol,2,157584,Automatic
45760468,11290,AUDI,A7,2014,Petrol,3,0,Automatic
45773972,706,AUDI,A4,2014,Petrol,2,162032,Automatic
42541006,3100,AUDI,A4,2002,Petrol,3,11111,Automatic
45760785,14740,AUDI,Q5,2011,Petrol,3.2,174000,Tiptronic
45760465,11133,AUDI,A7,2013,Petrol,3,301707,Automatic
45767786,549,AUDI,A6,2016,Petrol,2,97826,Automatic
45647907,549,AUDI,Q7,2015,Petrol,3,71717,Automatic
45814736,17249,AUDI,A4,2010,Petrol,2.0 Turbo,167000,Tiptronic
43434477,33243,AUDI,A3 PREMIUM,2015,Petrol,1.8 Turbo,38000,Tiptronic
45766136,157,AUDI,A7,2014,Petrol,3,401128,Automatic
45756918,5500,AUDI,A6 evropuli,2000,Petrol,2.4,11111,Tiptronic
44120119,2509,AUDI,Allroad,2004,Petrol,2.7 Turbo,0,Tiptronic
45759916,14740,AUDI,A4,2009,Petrol,2,240000,Tiptronic
45647035,157,AUDI,A6,2015,Petrol,3,77333,Automatic
45647924,470,AUDI,Q5,2012,Petrol,2,340106,Automatic
45790959,47042,AUDI,Q5,2016,Petrol,2,67133,Automatic
45659687,36692,AUDI,Q5,2012,Petrol,3.2,56000,Tiptronic
45808566,251,AUDI,A6,2011,Petrol,3,196069,Automatic
45777018,10976,AUDI,A4 B7,2008,Petrol,2.0 Turbo,226000,Tiptronic
45772518,1254,AUDI,A4,2014,Petrol,2,42395,Automatic
45766125,549,AUDI,A6,2016,Petrol,2,97826,Automatic
45816651,10976,AUDI,A4,2007,Petrol,2.0 Turbo,224823,Tiptronic
45647919,20698,AUDI,Q5,2013,Hybrid,2,261160,Automatic
45646567,2901,AUDI,A4,2012,Petrol,2,177512,Automatic
45756740,10349,AUDI,A4,2007,Petrol,2.4,150000,Manual
44986777,49550,AUDI,Q7,2010,Diesel,4.2 Turbo,178000,Tiptronic
44397830,32302,AUDI,Q5 Prestige,2010,Petrol,3.2,182011,Tiptronic
45805557,3763,AUDI,A6,1997,Petrol,2.6,111111,Automatic
41751996,42334,AUDI,A6 QUATTRO,2011,Petrol,2.8,79000,Tiptronic
45655281,4234,AUDI,A4,2013,Petrol,2,157584,Automatic
44815958,36400,AUDI,Q5,2012,Petrol,3.2,101000,Tiptronic
45444264,84675,AUDI,Allroad Allroad,2013,Diesel,3.0 Turbo,135000,Tiptronic
45791126,47042,AUDI,Q5,2017,Petrol,2,75186,Automatic
45768926,3058,AUDI,A7,2014,Petrol,3,140507,Automatic
45766099,18817,AUDI,A6,2014,Petrol,2,279722,Automatic
45786021,25716,AUDI,Q5,2012,Petrol,3.2,100000,Tiptronic
45655298,314,AUDI,Q5,2011,Petrol,2,287021,Automatic
45025410,58018,AUDI,A7,2012,Petrol,3.0 Turbo,161000,Tiptronic
45808567,6586,AUDI,A4,2014,Petrol,2,123640,Automatic
45760463,549,AUDI,A6,2016,Petrol,2,97826,Automatic
45782173,1300,AUDI,50,2018,Petrol,0.5,4000,Tiptronic
45655301,941,AUDI,Q5,2016,Petrol,3,448982,Automatic
45804832,37633,AUDI,Q7 sport,2011,Diesel,3,65000,Tiptronic
45791302,16500,AUDI,A5,2011,Petrol,2,1000,Tiptronic
45789491,15681,AUDI,A4,2010,Petrol,2.0 Turbo,192000,Manual
45809333,1098,AUDI,A6,2011,Petrol,3,0,Automatic
45647000,1098,AUDI,A6,2014,Petrol,2,101179,Automatic
45760485,13328,AUDI,Q7,2017,Petrol,3,44642,Automatic
45760475,2901,AUDI,A7,2014,Petrol,3,140507,Automatic
45807345,31047,AUDI,A5,2013,Petrol,2.0 Turbo,78400,Tiptronic
45808414,9095,AUDI,A5,2013,Petrol,2.0 Turbo,78000,Tiptronic
45808563,1646,AUDI,A4,2011,Petrol,2,124958,Automatic
45687064,92515,AUDI,Allroad,2015,Diesel,3.0 Turbo,92000,Tiptronic
45499516,64290,AUDI,A8,2011,Petrol,4.2,105700,Tiptronic
44153312,38500,AUDI,Q5,2014,Petrol,2,87000,Tiptronic
45768943,13328,AUDI,Q7,2017,Petrol,3,44642,Automatic
45806009,3000,AUDI,A4 B5,2000,Petrol,1.8 Turbo,0,Manual
45758457,3500,AUDI,A6,1998,Petrol,2.8,150000,Tiptronic
45771822,3293,AUDI,A4,2013,Petrol,2,151469,Automatic
45815660,37633,AUDI,A8,2008,Diesel,3,265000,Tiptronic
45428409,35800,AUDI,Q5,2012,Petrol,3.2,98000,Tiptronic
45781758,10036,AUDI,A4,2002,Petrol,1.8 Turbo,324000,Tiptronic
45769578,157,AUDI,A7,2014,Petrol,3,401128,Automatic
45763049,13328,AUDI,Q7,2017,Petrol,3,44642,Automatic
45772587,2352,AUDI,Q7,2011,Diesel,3,232554,Automatic
45789485,62722,AUDI,Q7,2014,Petrol,3.0 Turbo,92000,Tiptronic
45647934,8154,AUDI,Q5,2012,Petrol,2,157464,Automatic
45772255,47042,AUDI,Q5,2016,Petrol,2,56240,Automatic
45751960,13172,AUDI,A6,2017,Petrol,2,0,Automatic
45793583,3800,AUDI,A6,1998,Petrol,2.8,416000,Tiptronic
45808577,2509,AUDI,A7,2013,Petrol,3,158091,Automatic
45800288,2000,AUDI,A4,1995,Petrol,1.8,100000,Manual
45806426,1568,AUDI,A3,2012,Diesel,2,167398,Automatic
45646566,4704,AUDI,A7,2014,Petrol,3,401128,Automatic
45369811,15994,AUDI,A6 UNIVERSAL,2005,Petrol,2.4,160000,Automatic
45759340,9565,AUDI,A7,2014,Petrol,3,191373,Automatic
45767508,862,AUDI,Q7,2015,Petrol,3,264014,Automatic
44732858,111332,AUDI,A8,2016,Petrol,3.0 Turbo,33000,Tiptronic
44132148,13000,AUDI,S6,2007,Petrol,5.2,108000,Tiptronic
45435361,19130,AUDI,A4 premium plius,2011,Petrol,2.0 Turbo,181155,Tiptronic
45809830,627,AUDI,Q7,2017,Petrol,3,49602,Automatic
45768530,9300,AUDI,A4,2004,Petrol,1.8 Turbo,259200,Tiptronic
45769550,282,AUDI,A4,2013,Petrol,2,157584,Automatic
45647996,16308,AUDI,Q3,2016,Petrol,2,1717,Automatic
45647942,11760,AUDI,Q5,2014,Diesel,3,66661,Automatic
45786734,11760,AUDI,A4 Sline,2008,Petrol,2.0 Turbo,240000,Tiptronic
45760481,392,AUDI,Q7,2011,Diesel,3,232554,Automatic
45794049,10976,AUDI,A4,2008,Petrol,2.0 Turbo,226000,Tiptronic
45808469,549,AUDI,RS7,2016,Petrol,4,112701,Automatic
45762982,549,AUDI,A6,2016,Petrol,2,97826,Automatic
45766174,862,AUDI,Q7,2015,Petrol,3,264014,Automatic
45808474,37947,AUDI,Q7,2018,Petrol,3,49122,Automatic
45760470,157,AUDI,A7,2014,Petrol,3,401128,Automatic
45767493,3058,AUDI,A7,2014,Petrol,3,140507,Automatic
45770539,9000,AUDI,A8,2006,Petrol,4.2,205000,Tiptronic
45795345,34845,AUDI,A8,2003,Petrol,3.7,170000,Tiptronic
45776777,8781,AUDI,A4,2002,Petrol,3,265600,Manual
45799078,6000,AUDI,A4,2003,Petrol,1.8 Turbo,0,Tiptronic
45646645,11760,AUDI,Q5,2014,Diesel,3,66661,Automatic
45781438,5018,AUDI,A4,2001,CNG,2.8,25000,Tiptronic
45755510,4077,AUDI,Q5,2010,Petrol,3.2,282643,Automatic
45769595,862,AUDI,Q7,2015,Petrol,3,264014,Automatic
45805051,35124,AUDI,Q5,2017,Petrol,2,0,Automatic
44772213,18817,AUDI,A4,2011,Petrol,2.0 Turbo,144878,Manual
45793312,23834,AUDI,Q5,2010,Petrol,3.2,280000,Tiptronic
44806861,27911,AUDI,A4,2011,Petrol,2.0 Turbo,147200,Tiptronic
45647954,20385,AUDI,Q3,2016,Petrol,2,74184,Automatic
45772560,157,AUDI,A7,2014,Petrol,3,401128,Automatic
45655293,549,AUDI,Q7,2015,Petrol,3,71717,Automatic
45767487,157,AUDI,A7,2014,Petrol,3,401128,Automatic
45759338,157,AUDI,A7,2014,Petrol,3,401128,Automatic
45774016,549,AUDI,A6,2016,Petrol,2,97826,Automatic
45647965,16308,AUDI,Q3,2016,Petrol,2,1717,Automatic
45759318,549,AUDI,A4,2014,Petrol,2,162032,Automatic
45815732,9408,AUDI,A4 B6,2004,Petrol,1.8 Turbo,224000,Manual
45808564,470,AUDI,A3,2016,Petrol,2,70414,Automatic
45767505,2352,AUDI,Q7,2011,Diesel,3,232554,Automatic
45774049,2352,AUDI,Q7,2011,Diesel,3,232554,Automatic
45808652,1098,AUDI,A6,2011,Petrol,3,0,Automatic
45443209,32615,AUDI,A4 S line,2013,Petrol,2.0 Turbo,69000,Tiptronic
45748211,29166,AUDI,Q5,2010,Petrol,3.2,150000,Tiptronic
45772565,9565,AUDI,A7,2014,Petrol,3,191373,Automatic
45760433,21012,AUDI,A4,2013,Petrol,2,157584,Automatic
45767796,9565,AUDI,A7,2014,Petrol,3,191373,Automatic
45792397,9408,AUDI,A5,2013,Petrol,2.0 Turbo,87000,Automatic
45792290,4704,AUDI,A6,1998,Petrol,2.4,0,Manual
45809800,8467,AUDI,Q7,2014,Diesel,3,98803,Automatic
45646634,470,AUDI,Q5,2012,Petrol,2,340106,Automatic
44921623,38888,AUDI,A6 C7,2012,Petrol,3.0 Turbo,154000,Tiptronic
45646668,706,AUDI,Q7,2017,Petrol,3,14701,Automatic
45772592,862,AUDI,Q7,2015,Petrol,3,264014,Automatic
45761500,34497,AUDI,A7,2012,Petrol,3.0 Turbo,83200,Tiptronic
45815542,17562,AUDI,A4,2010,Petrol,2.0 Turbo,220000,Tiptronic
45567174,11000,AUDI,A4,2006,Petrol,2,225000,Automatic
45430408,11290,AUDI,Allroad,2001,Petrol,2.7,210000,Manual
45776285,15681,AUDI,A4,2011,Petrol,2.0 Turbo,190000,Tiptronic
45724246,27284,AUDI,A4,2013,Petrol,2.0 Turbo,144000,Automatic
45774032,9565,AUDI,A7,2014,Petrol,3,191373,Automatic
45654624,706,AUDI,A8,2015,Diesel,3,131674,Automatic
45772571,3058,AUDI,A7,2014,Petrol,3,140507,Automatic
45646670,1019,AUDI,A4,2017,Petrol,2,110051,Automatic
45646689,2587,AUDI,A3,2012,Diesel,2,174966,Automatic
28135943,3136,AUDI,A6,1998,Petrol,2.8,299689,Tiptronic
45757925,2117,AUDI,A4,2013,Petrol,2,174941,Automatic
45811006,37633,AUDI,A8,2014,Diesel,3,68006,Automatic
45731379,24462,AUDI,A5,2009,Petrol,3.2,100000,Tiptronic
45759335,11133,AUDI,A7,2013,Petrol,3,301707,Automatic
45767454,282,AUDI,A4,2013,Petrol,2,157584,Automatic
45647914,941,AUDI,Q5,2016,Petrol,3,448982,Automatic
45647889,3920,AUDI,A4,2013,Petrol,2,157584,Automatic
45789756,29793,AUDI,A4,2013,Petrol,2.0 Turbo,176000,Tiptronic
45798454,34497,AUDI,A6 premium plus,2013,Petrol,3.0 Turbo,107000,Tiptronic
45767806,862,AUDI,Q7,2015,Petrol,3,264014,Automatic
45702752,19130,AUDI,A4 premium,2010,Petrol,2,168000,Automatic
45798269,17249,AUDI,A6,2011,Petrol,3.2,138000,Automatic
45646693,14113,AUDI,S3,2016,Petrol,2,61410,Automatic
45769554,706,AUDI,A4,2014,Petrol,2,162032,Automatic
45815527,48296,AUDI,Q7,2012,Petrol,3.0 Turbo,185600,Automatic
45770423,21953,AUDI,A6 С6,2008,Petrol,3.2,158177,Tiptronic
45813777,175622,BENTLEY,Mulsanne,2016,Petrol,6.8,6189,Automatic
45786808,219527,BENTLEY,Continental GT,2012,Petrol,4.0 Turbo,55500,Tiptronic
45789649,36692,BMW,328,2013,Petrol,2.0 Turbo,126400,Manual
45290874,10976,BMW,325 XI,2002,Petrol,2.5,262400,Tiptronic
45813437,26343,BMW,428,2017,Petrol,3,71894,Automatic
45759308,5959,BMW,316,1995,Petrol,1.6,294000,Manual
45781909,7527,BMW,328,1999,LPG,2.8,25000,Manual
45813434,1176,BMW,435,2014,Petrol,3,90029,Automatic
45660968,157,BMW,X5,2012,Diesel,3,296395,Automatic
45795842,14426,BMW,530,2002,Petrol,3,98000,Tiptronic
44615609,13485,BMW,525,2003,Petrol,2.5,7777787,Manual
45773959,26657,BMW,335,2007,Petrol,3,0,Manual
45695879,22894,BMW,X1,2015,Petrol,2,98162,Tiptronic
45624939,31047,BMW,X5,2012,Diesel,3,70994,Automatic
45809805,34497,BMW,535,2011,Petrol,3.0 Turbo,137600,Tiptronic
45788128,140,BMW,X5,2008,Petrol,3,240000,Tiptronic
45682224,75266,BMW,X5,2016,Petrol,3.0 Turbo,33600,Tiptronic
45664393,16621,BMW,X5,2014,Diesel,3,110715,Automatic
45770335,5500,BMW,520,1997,Petrol,2,263000,Manual
45525671,15681,BMW,X5,2004,Petrol,4.4,224000,Tiptronic
45776501,9095,BMW,318,2003,Petrol,2,0,Tiptronic
45474606,13485,BMW,530 M,2002,Petrol,3,155000,Tiptronic
45695160,27598,BMW,528,2013,Petrol,2.0 Turbo,82000,Tiptronic
45745797,21639,BMW,X5,2008,Petrol,4.8,200000,Tiptronic
45816281,251,BMW,X5,2011,Petrol,4.4,143678,Automatic
45813581,1019,BMW,535,2011,Petrol,3,0,Automatic
45816306,9408,BMW,X5,2013,Diesel,3,88829,Automatic
45805731,16621,BMW,328,2010,Petrol,2.8,160000,Tiptronic
45804633,43278,BMW,X5,2012,Petrol,5,91000,Automatic
45761593,33556,BMW,X5,2013,Petrol,3.0 Turbo,119000,Tiptronic
45811801,7683,BMW,335,2002,Petrol,2.5,126000,Tiptronic
45800886,28852,BMW,328,2013,Petrol,2.0 Turbo,145000,Tiptronic
45783874,51746,BMW,428,2015,Petrol,2.0 Turbo,90000,Tiptronic
44414287,14113,BMW,X3,2004,CNG,2.5,380000,Tiptronic
44675587,43592,BMW,535,2012,Petrol,3.0 Turbo,92000,Tiptronic
44479385,94080,BMW,X5,2014,Diesel,2,260000,Tiptronic
45805632,14113,BMW,530,2004,Petrol,3,416000,Manual
45664442,784,BMW,X5,2013,Diesel,3,0,Automatic
45709486,5645,BMW,X5 M,2005,Petrol,4.4,1000,Tiptronic
45682336,41710,BMW,328,2012,Petrol,2.0 Turbo,183000,Tiptronic
45781979,40456,BMW,428 i,2014,Petrol,2.0 Turbo,112000,Tiptronic
45761444,37633,BMW,750,2010,Petrol,4.4 Turbo,111000,Automatic
45756874,21953,BMW,X5,2005,Diesel,3.0 Turbo,248000,Tiptronic
45808615,1019,BMW,X3,2019,Petrol,2,33870,Automatic
45793367,16621,BMW,X5 3.0i,2003,Petrol,3,260000,Automatic
45775385,25089,BMW,X5,2004,Diesel,3,248000,Tiptronic
45801732,49000,BMW,420,2015,Petrol,2.0 Turbo,28800,Tiptronic
45774731,42337,BMW,528,2014,Petrol,2.0 Turbo,156000,Tiptronic
44982672,53314,BMW,535,2014,Diesel,3.0 Turbo,64000,Tiptronic
45792319,25716,BMW,X5,2008,Petrol,3,160000,Tiptronic
45751986,33870,BMW,328,2013,Petrol,2,111000,Tiptronic
45787671,14740,BMW,530,2004,Petrol,3,280000,Tiptronic
45816282,862,BMW,X5,2012,Petrol,3,133342,Automatic
45786567,47042,BMW,550,2010,Petrol,4.4 Turbo,119000,Tiptronic
45795632,18817,BMW,X5 E70,2008,Petrol,4.8,272000,Tiptronic
45664417,14583,BMW,X5,2012,Diesel,3,229966,Automatic
45754127,13485,BMW,330,2005,LPG,3,150000,Tiptronic
45795811,10349,BMW,530,2007,Petrol,3,15000,Tiptronic
45640934,392,BMW,X5,2011,Diesel,3,213195,Automatic
45814448,39829,BMW,X3,2012,Petrol,3.0 Turbo,160000,Tiptronic
45646536,6429,BMW,435,2015,Petrol,3,73362,Automatic
45806555,10349,BMW,X5,2004,CNG,3,250000,Tiptronic
45816599,28225,BMW,X5,2007,Diesel,3.0 Turbo,221500,Tiptronic
45805495,34497,BMW,X5,2011,Diesel,3,250000,Tiptronic
45815762,17249,BMW,X5,2001,CNG,4.4,232000,Tiptronic
45787234,18817,BMW,328,2011,Petrol,3,78000,Tiptronic
45770525,16308,BMW,525,2004,Diesel,2.5 Turbo,265000,Tiptronic
24701923,130,BMW,X5,2006,Petrol,4.4,90000,Tiptronic
45808763,21012,BMW,328,2009,Petrol,2.8,130000,Tiptronic
45584228,5331,BMW,318,2004,Petrol,1.9,128202,Tiptronic
44984036,78403,BMW,X6,2010,Petrol,3.5 Turbo,180000,Tiptronic
45788451,6272,BMW,318,1998,Petrol,1.9,0,Manual
45813436,1019,BMW,X6,2010,Petrol,4.4,0,Automatic
45811319,14269,BMW,X5,2017,Diesel,3,98726,Automatic
44571717,29793,BMW,535,2010,Petrol,3.0 Turbo,179554,Tiptronic
45790853,3763,BMW,316,1994,Petrol,1.6,262000,Manual
45811308,9252,BMW,X5,2013,Diesel,3,88829,Automatic
45768394,50178,BMW,550,2007,Petrol,5,158400,Tiptronic
45183450,28852,BMW,320,2012,Petrol,2.0 Turbo,190000,Tiptronic
45313305,19757,BMW,328,2014,Petrol,2,128784,Automatic
45631355,6429,BMW,X5,2009,Diesel,3,262072,Automatic
45816249,17876,BMW,X6,2014,Petrol,4.4,62192,Automatic
45779082,24148,BMW,528,2011,Petrol,3,150000,Tiptronic
45765910,10192,BMW,114,2018,Petrol,2,38282,Automatic
45762493,26657,BMW,528,2011,Petrol,3,125000,Tiptronic
45778049,23521,BMW,335,2010,Petrol,3.5 Turbo,94000,Tiptronic
45621690,8154,BMW,X5,2012,Diesel,3,103458,Automatic
45771962,10663,BMW,320,2001,Diesel,2.0 Turbo,142000,Manual
45812700,6899,BMW,316,1994,Petrol,1.6,308910,Manual
45811777,9722,BMW,320,2001,Petrol,2.2,167815,Tiptronic
45486386,3000,BMW,528,1993,Petrol,2.8,111000,Manual
45814964,21326,BMW,328,2011,Petrol,3,220763,Tiptronic
45760548,4737,BMW,525,1998,Petrol,3.2,11111,Tiptronic
45804919,31361,BMW,X5,2011,Diesel,3,192382,Automatic
45774722,36065,BMW,X6,2011,Petrol,3.5 Turbo,208000,Tiptronic
45807591,49550,BMW,550 GT,2009,Petrol,4.4 Turbo,167000,Tiptronic
45795370,10036,BMW,330,2003,Petrol,3,0,Manual
45792026,3000,BMW,520,1988,Petrol,2,222222,Manual
45504018,11604,BMW,330,2001,Petrol,3,168000,Manual
45781201,9722,BMW,525,2002,LPG,2.5,166818,Tiptronic
45799874,8467,BMW,318 სასწრაფოდ,2002,Petrol,1.8,95000,Manual
45787150,9095,BMW,318,1995,Petrol,1.8,61000,Manual
45794203,16308,BMW,X5,2006,Petrol,4.4,220000,Tiptronic
45640923,1019,BMW,X5,2013,Diesel,3,137802,Automatic
45789745,10036,BMW,320 DIESEL,2002,Diesel,2.0 Turbo,280000,Manual
45660962,34811,BMW,X5,2012,Diesel,3,70994,Automatic
45793128,17249,BMW,528,1992,Petrol,2.8,1000,Manual
44654408,17562,BMW,335,2008,Petrol,3.5,211200,Tiptronic
45770717,15053,BMW,328,2006,Petrol,3,226000,Tiptronic
45816271,1254,BMW,X6,2016,Petrol,3,74674,Automatic
45759889,23521,BMW,530,2009,Diesel,3.0 Turbo,0,Tiptronic
45758625,8467,BMW,225,2004,Petrol,2.5,190000,Tiptronic
41962293,37633,BMW,M6,2007,Petrol,5,187500,Tiptronic
45760292,32929,BMW,535,2012,Petrol,3.0 Turbo,152000,Tiptronic
43487132,90,BMW,X5,2006,Diesel,3.0 Turbo,13000,Tiptronic
